condition,odometer,paint_color,price,year
like new,86639,black,14995,2015
good,181000,"",2500,2002
excellent,79000,grey,13400,2014
excellent,123916,grey,2000,2010
good,230000,white,1400,1992
good,134918,silver,4999,2010
fair,167000,"",1200,2001
like new,122333,grey,840,2004
good,231000,black,2900,2000
good,122622,white,5900,2010
excellent,103000,silver,10500,2012
excellent,144000,green,4500,2007
excellent,117338,silver,4495,2003
good,231000,black,2900,2000
excellent,191142,blue,4000,2003
excellent,191142,blue,3500,2003
good,231000,black,2900,2000
good,235000,silver,1725,2000
good,143597,green,5450,2003
good,231000,black,2900,2000
good,143597,green,5450,2003
like new,94795,black,12900,2013
good,143597,green,5450,2003
good,186783,brown,2995,1998
good,231000,black,2900,2000
excellent,134000,white,10500,2016
good,71466,black,17595,2018
good,138900,silver,5200,2005
good,244500,"",2150,1998
good,119000,"",3900,2001
good,198000,grey,2800,2004
excellent,65000,brown,7900,2009
good,133000,yellow,4249,2009
good,196000,white,4400,2007
excellent,90209,grey,13990,2012
good,150123,green,5995,2007
good,205800,brown,2500,2002
good,202600,green,4000,2007
good,230133,grey,3000,2003
good,274464,black,3650,2003
excellent,233000,"",2499,2004
good,206000,red,2999,2005
excellent,100369,brown,4700,2006
good,86000,"",11500,2012
good,198223,white,1999,1996
excellent,108848,silver,10500,2011
good,85000,"",3000,2009
good,159855,silver,8000,2013
good,127000,silver,7495,2011
excellent,240000,white,4950,2009
excellent,129086,grey,7512,2010
excellent,151000,grey,6250,2007
excellent,157963,white,8500,2011
good,61000,black,17995,2016
excellent,157963,white,8500,2011
excellent,240000,white,4950,2009
excellent,124710,silver,8250,2007
fair,250000,green,1400,2002
like new,17000,silver,21995,2019
good,136208,white,9425,2012
good,173000,blue,2995,1992
good,199555,"",5695,2007
good,77382,silver,11900,2013
fair,183231,white,3275,2007
good,205925,silver,3800,2005
excellent,40100,black,14800,2014
excellent,62000,silver,8900,2009
fair,117000,red,6500,2012
excellent,29463,silver,7995,2006
excellent,165000,white,5200,2003
like new,169000,"",8900,2012
like new,184321,white,5900,2007
good,120000,yellow,5995,2007
excellent,160000,black,6990,2011
excellent,62000,silver,8900,2009
excellent,156000,blue,6500,2010
excellent,139787,custom,4995,2002
good,120000,yellow,5995,2007
excellent,187000,black,5500,2009
excellent,149000,silver,10000,2014
excellent,184000,"",2750,1996
excellent,105367,grey,7300,2007
good,119954,silver,800,2011
excellent,157000,white,4999,2003
excellent,136200,black,7775,2011
like new,192000,blue,1795,2007
good,215386,grey,3250,1998
excellent,181476,"",5700,2006
good,217000,grey,3700,2002
excellent,160000,"",6000,2009
excellent,177225,grey,7200,2011
good,217398,silver,3200,2002
like new,201699,white,4200,1996
excellent,160000,black,6998,2011
excellent,67930,red,16995,2017
excellent,67930,red,16995,2017
excellent,67930,red,16995,2017
excellent,67930,red,16995,2017
excellent,67930,red,16995,2017
excellent,67930,red,16995,2017
excellent,66658,blue,13350,2013
excellent,67930,red,16995,2017
excellent,66658,blue,13350,2013
excellent,67930,red,16995,2017
excellent,66658,blue,13350,2013
excellent,66658,blue,13350,2013
excellent,67930,red,16995,2017
excellent,66658,blue,13350,2013
excellent,66658,blue,13350,2013
good,119635,blue,10250,2015
good,202475,"",1600,1998
good,83674,silver,13650,2015
good,165000,green,4000,2004
good,131000,white,4200,2002
good,137546,green,6950,2007
good,137546,green,6950,2007
like new,145000,silver,2900,2001
good,151734,red,6950,2007
good,156084,silver,5650,2003
excellent,84252,black,21995,2018
excellent,129442,silver,10500,2013
excellent,129442,silver,10900,2013
excellent,129442,silver,10500,2013
excellent,136020,silver,9500,2010
excellent,157000,red,10500,2014
like new,121000,red,9750,2014
good,208000,red,2995,1987
good,169000,"",5900,2008
like new,201699,white,4200,1996
like new,179000,red,7000,2008
good,179000,red,6500,2008
excellent,76000,red,9800,2014
excellent,133338,silver,6995,2007
excellent,76000,green,6795,2005
excellent,135000,"",5700,2011
excellent,142000,silver,4468,2007
excellent,178000,grey,6500,2011
good,161021,grey,3300,2005
good,161748,grey,3300,2005
excellent,105286,silver,5995,2003
excellent,75946,black,15000,2014
excellent,104597,silver,9000,2009
like new,210000,silver,3999,1999
excellent,104597,silver,9000,2009
excellent,73450,"",13794,2014
excellent,101000,blue,10500,2011
like new,56878,black,14495,2015
good,210000,"",3200,2001
fair,179000,blue,2000,2011
good,159769,grey,2500,2000
good,178161,white,3600,2002
like new,54163,silver,15495,2017
like new,119331,grey,7795,2011
excellent,36700,black,15900,2015
good,81074,custom,8295,2009
fair,194356,green,2500,2002
like new,38500,black,18000,2017
excellent,172000,"",5495,2011
excellent,136470,black,8995,2013
excellent,169000,"",3200,2005
good,132785,grey,5000,2006
excellent,79595,white,9495,2010
fair,209950,white,2700,2005
good,175000,red,2100,1999
excellent,107234,grey,4900,2003
excellent,169000,"",3300,2005
good,91928,blue,6000,2009
excellent,142149,grey,3150,2004
excellent,127901,"",9500,2016
like new,150000,green,5000,2009
excellent,172851,"",3988,2005
excellent,93000,silver,9500,2013
like new,58000,black,15899,2017
excellent,124884,"",6990,2010
good,94317,"",9000,2012
excellent,125000,"",5000,2001
good,170000,red,5500,2007
good,157000,grey,3900,2008
excellent,133000,grey,7200,2013
good,119132,grey,6995,2007
good,140000,blue,1,2019
good,165223,silver,3695,2009
good,179732,black,5995,2009
good,169203,black,5295,2007
good,176313,blue,4495,2005
like new,144393,red,8100,2009
excellent,132920,blue,3200,1997
excellent,69949,black,13395,2014
good,165223,silver,3695,2009
excellent,69949,black,13395,2014
good,140000,blue,1,2019
excellent,69949,black,13395,2014
excellent,121276,"",8495,2011
good,170000,"",3000,2003
excellent,121276,"",8495,2011
excellent,96000,white,830,2000
new,53000,red,8500,2011
excellent,151000,silver,5300,2008
good,108000,brown,9900,2014
excellent,46000,silver,10500,2015
excellent,66800,silver,14000,2015
like new,67000,custom,9100,2015
good,108000,brown,9900,2014
excellent,170538,red,5800,2007
excellent,130000,black,13950,2015
excellent,90000,silver,12500,2015
excellent,115705,grey,7495,2009
like new,95000,red,9000,2007
excellent,206000,silver,3500,2007
good,74000,red,6650,2005
excellent,75261,silver,6500,2007
good,122100,custom,5000,2007
good,167723,blue,6000,2008
excellent,115705,grey,7495,2009
excellent,100000,"",7000,2011
excellent,146672,brown,3495,2006
excellent,115705,grey,7495,2009
good,59132,silver,10990,2008
excellent,115705,grey,7495,2009
good,142000,black,4500,2005
good,155500,green,3900,2004
good,180000,"",4200,2007
like new,270032,blue,2800,2003
like new,135000,"",5100,2007
excellent,155123,silver,8995,2012
excellent,101710,red,11790,2013
excellent,161648,silver,3150,2002
like new,270032,blue,2800,2003
good,165000,brown,2000,2000
like new,270032,blue,2800,2003
excellent,153724,silver,7995,2012
like new,270032,blue,2800,2003
like new,270032,blue,2800,2003
good,152730,silver,3000,2006
like new,270032,blue,2800,2003
good,155500,green,3900,2004
good,155500,green,3900,2004
excellent,87600,black,9500,2012
excellent,115705,grey,7495,2009
good,205000,green,3925,2011
excellent,83662,"",8995,2009
excellent,141518,"",6999,2007
excellent,111760,red,9999,2010
excellent,10985,silver,7200,2005
good,100814,blue,16995,2017
good,147500,grey,3999,2006
excellent,10985,silver,7200,2005
excellent,116000,grey,4250,2000
excellent,113000,"",4000,2003
excellent,64830,grey,12995,2014
excellent,200000,green,3500,2005
excellent,47591,blue,20995,2018
excellent,86120,"",9990,2007
good,89934,grey,10795,2012
good,90660,white,11995,2015
good,179000,green,2000,2004
excellent,116000,grey,4500,2000
excellent,120000,brown,2650,1998
excellent,10985,silver,7200,2005
good,264100,"",2999,2005
good,258135,black,1500,2001
fair,190000,blue,1150,2000
good,157000,white,9000,2014
excellent,42434,black,13295,2018
excellent,26000,grey,15495,2012
good,202000,silver,3800,2008
excellent,241000,green,2500,2002
like new,32865,black,18500,2018
good,129000,silver,4500,2007
good,170000,custom,1500,2004
excellent,38744,"",15895,2019
good,180000,brown,1950,2000
excellent,137000,white,7000,2011
excellent,35742,"",16775,2018
excellent,130000,red,3700,2006
good,186814,grey,2100,2001
good,210343,white,140,2014
excellent,105700,silver,3100,2001
good,100000,"",2000,2012
salvage,114000,"",1000,1996
good,56000,grey,7200,2007
fair,189000,blue,2250,2005
excellent,115705,grey,7495,2009
good,128678,grey,3200,2003
excellent,202000,"",2950,2005
excellent,115705,grey,7495,2009
good,73255,"",8250,2007
good,180000,black,4200,2008
good,160000,grey,4200,2007
good,177296,silver,2000,2005
excellent,141350,black,7650,2011
excellent,139000,white,8995,2012
good,141000,black,6495,2007
fair,200000,"",5999,2010
fair,181358,silver,1100,2005
good,124000,"",5000,2009
excellent,178021,"",5495,2004
excellent,139000,white,8995,2012
good,166000,"",2950,1998
good,166230,"",3000,2001
good,166000,"",2950,1998
excellent,188000,silver,6800,2009
excellent,199000,green,3600,2009
good,166000,"",2950,1998
good,166000,"",2950,1998
good,166000,"",2950,1998
excellent,93083,grey,11733,2014
excellent,115830,grey,7995,2005
excellent,143553,blue,5495,2009
excellent,115830,grey,8244,2005
excellent,143553,blue,5900,2009
good,166230,"",3000,2001
excellent,150239,red,5900,2010
excellent,93083,grey,11477,2014
good,69995,green,6800,2010
excellent,192459,blue,6295,2009
good,169000,"",2800,1997
good,167256,blue,3950,2009
like new,197000,"",2495,1995
good,173000,red,2700,2005
excellent,183485,"",4850,2009
good,133138,grey,10000,2012
good,153268,"",4219,2002
good,153268,"",4219,2002
like new,143000,silver,6500,2011
excellent,160000,grey,2500,2007
good,154000,grey,4800,2004
good,189000,"",2000,2003
fair,142800,silver,2495,2005
good,167000,white,5500,2010
good,95520,"",4495,2001
good,190000,brown,2300,2000
excellent,93083,grey,11733,2014
fair,160000,grey,2499,2005
good,190000,brown,2700,2000
good,143151,white,2900,1999
excellent,89998,grey,6300,2009
excellent,93083,grey,11477,2014
excellent,158000,grey,4800,2007
excellent,146672,brown,3495,2006
excellent,114009,grey,8995,2011
excellent,209960,silver,3000,2000
good,196859,silver,4500,2007
excellent,141978,blue,4500,2007
good,219954,red,4500,2007
excellent,138840,"",6950,2011
excellent,114009,grey,8995,2011
excellent,138840,"",6950,2011
fair,169941,grey,750,1999
excellent,187000,silver,5000,2011
fair,250000,white,1000,2001
good,231000,black,2900,2000
excellent,30000,black,20500,2019
good,243000,black,4000,2003
excellent,160000,white,3999,2005
excellent,160000,white,3999,2005
excellent,160000,white,3999,2005
like new,64404,"",15988,2016
excellent,66403,"",15988,2016
excellent,137000,white,5250,2004
good,150568,white,6900,2009
like new,64404,"",15988,2016
good,156609,black,7995,2009
excellent,174000,grey,5998,2010
excellent,133000,silver,5298,2004
excellent,113813,silver,6500,2010
fair,180000,grey,2000,2000
salvage,200000,white,500,1999
excellent,122299,"",11995,2010
excellent,113813,silver,6500,2010
fair,265000,"",1300,1999
good,241470,"",1500,2002
good,45579,grey,13500,2014
excellent,105000,grey,9200,2012
excellent,105000,grey,9200,2012
good,122000,"",1,2012
excellent,79567,blue,10900,2011
good,122000,"",1,2012
excellent,200000,silver,4900,2006
good,122000,"",1,2012
good,122000,"",1,2012
good,122000,"",1,2012
good,109000,silver,12000,2012
fair,254999,silver,1200,2002
excellent,111424,grey,7500,2006
good,200000,white,2650,1998
fair,150000,"",325,1996
good,105739,silver,3690,2004
good,174000,blue,2999,2007
good,188000,silver,5000,2007
excellent,100683,blue,15995,2017
excellent,124267,silver,10493,2012
excellent,222316,"",2995,2004
excellent,166067,"",2995,2004
excellent,231832,"",2995,2004
excellent,231146,"",2895,1996
excellent,193689,"",3750,2000
excellent,220002,"",5477,2007
good,155000,white,2500,2001
fair,94548,silver,6995,2006
good,219500,white,2750,2000
excellent,217170,black,1495,1999
excellent,135203,white,9995,2011
excellent,197000,"",6595,2012
excellent,157913,silver,6950,2011
excellent,157913,silver,6950,2011
excellent,157913,silver,6950,2011
excellent,157913,silver,6950,2011
excellent,157913,silver,6950,2011
like new,108255,grey,11500,2017
good,140000,"",2700,2002
good,119132,grey,6995,2007
good,165223,silver,3695,2009
good,37407,"",8500,2009
good,116854,white,9999,2012
excellent,65000,grey,15700,2015
excellent,69949,black,13395,2014
good,165223,silver,3695,2009
excellent,87000,red,6900,2009
like new,39556,white,16500,2015
excellent,104660,grey,5850,2005
excellent,17000,white,13495,2017
good,185439,brown,2600,1999
good,120000,brown,5900,2006
good,185439,brown,2600,1999
excellent,126000,grey,7995,2009
good,203000,grey,1750,2001
excellent,104660,grey,5850,2005
good,185439,brown,2600,1999
excellent,126000,grey,7995,2009
good,185439,brown,2600,1999
excellent,126000,grey,7995,2009
excellent,126000,grey,7995,2009
like new,140000,custom,7000,2009
excellent,126000,grey,7995,2009
excellent,126000,grey,7995,2009
excellent,123800,green,6495,2007
excellent,104660,grey,6150,2005
good,173442,silver,3750,2007
good,224457,"",1895,1996
excellent,60000,white,9900,2011
like new,88721,black,11250,2013
like new,14914,blue,19995,2016
excellent,95000,white,9600,2012
good,112662,custom,6995,2007
good,74988,silver,13980,2016
good,114000,white,5200,2008
like new,156782,"",9400,2014
excellent,157913,silver,6950,2011
excellent,157913,silver,6950,2011
excellent,126728,silver,6800,2008
excellent,119587,silver,6600,2008
excellent,96700,"",4000,1995
good,103000,grey,9000,2011
excellent,79000,silver,3000,1991
good,89340,silver,11995,2015
excellent,105795,red,11000,2012
excellent,208700,"",2600,2004
excellent,60000,silver,800,2016
excellent,116781,blue,7995,2009
excellent,148000,"",6500,2011
excellent,140000,white,10000,2015
excellent,177000,"",7200,2009
fair,200000,green,3000,2007
good,193000,"",4999,2012
excellent,188000,white,7000,2010
excellent,220000,"",4350,2007
excellent,62000,silver,8900,2009
excellent,222703,silver,9999,2009
good,153171,white,5700,2009
good,153171,white,5700,2009
excellent,35771,"",14995,2018
excellent,183644,"",6995,2011
good,268562,silver,4250,2009
like new,31354,"",19495,2018
good,69707,black,15000,2017
excellent,46009,black,17900,2017
excellent,35879,"",16500,2015
excellent,35879,"",16500,2015
excellent,35879,"",16500,2015
excellent,35879,"",16500,2015
excellent,19812,black,21000,2019
excellent,35879,"",16500,2015
excellent,90130,grey,14500,2017
excellent,35879,"",16500,2015
excellent,105000,white,7600,2010
excellent,278000,green,5300,2007
like new,176000,"",6000,2010
excellent,179432,black,6995,2011
excellent,146672,brown,3495,2006
excellent,46009,black,17900,2017
like new,40553,grey,17895,2017
excellent,82000,black,13000,2015
like new,40553,grey,17895,2017
excellent,81000,blue,5995,2009
excellent,55182,"",9999,2014
like new,33000,silver,19990,2018
excellent,35879,"",16500,2015
excellent,46009,black,17900,2017
good,141119,black,8500,2009
excellent,89998,grey,10000,2010
excellent,46009,black,17900,2017
excellent,77200,black,10900,2017
excellent,46009,black,17900,2017
excellent,190000,red,4500,2011
good,141119,black,8500,2009
excellent,131500,blue,9995,2014
excellent,184930,silver,4900,2006
good,51534,grey,11125,2014
good,186000,grey,4500,2010
good,200000,"",2000,1999
excellent,91100,grey,5750,2001
like new,154000,silver,5450,2005
excellent,65230,silver,15800,2018
excellent,220000,"",3500,2004
excellent,161656,custom,6700,2010
excellent,220000,"",3500,2004
excellent,220000,"",3500,2004
fair,183000,grey,3500,2009
excellent,91100,grey,5995,2001
good,185000,white,2850,2001
like new,128406,grey,12900,2016
excellent,107000,silver,7000,2007
excellent,118361,blue,8395,2010
excellent,158311,grey,5950,2006
excellent,95000,"",500,2012
like new,67543,"",12500,2017
excellent,53914,white,19500,2016
good,95628,custom,7995,2002
excellent,123000,grey,9000,2011
excellent,42700,black,17000,2015
excellent,115000,white,8799,2012
good,148000,grey,8500,2009
excellent,103047,"",5995,1999
excellent,70000,"",1000,2016
excellent,114093,grey,7900,2010
excellent,71932,red,14777,2014
excellent,44884,"",21777,2018
excellent,146672,brown,3495,2006
good,200000,silver,2000,2007
good,200000,silver,2000,2007
good,200000,silver,2000,2007
good,200000,silver,2000,2007
good,200000,silver,2000,2007
good,200000,silver,2000,2007
good,200000,silver,2000,2007
good,200000,silver,2000,2007
like new,120000,white,6200,2009
like new,70000,black,500,2016
good,200000,silver,2000,2007
good,200000,silver,2000,2007
good,200000,silver,2000,2007
good,200000,silver,2000,2007
good,200000,silver,2000,2007
like new,70000,black,500,2016
good,200000,silver,2000,2007
good,200000,silver,2000,2007
good,152000,black,4200,2007
good,200000,silver,2000,2007
excellent,105000,black,8799,2012
good,200000,silver,2000,2007
good,200000,silver,2000,2007
good,162725,grey,6588,2011
good,200000,silver,2000,2007
good,200000,silver,2000,2007
good,200000,silver,2000,2007
like new,70000,black,500,2016
excellent,16852,black,19990,2018
excellent,37000,green,6950,2011
fair,246468,white,2295,2001
excellent,249403,"",4550,2009
excellent,249403,"",4550,2009
excellent,127628,grey,5000,2012
like new,121611,silver,2000,2013
like new,121611,grey,2500,2013
good,202269,silver,7450,2012
good,264000,silver,999,2005
excellent,166345,white,7400,2012
fair,218622,black,800,2000
like new,197000,"",2800,2004
excellent,159000,"",7975,2010
like new,164297,black,6000,2010
excellent,159000,"",7975,2010
good,64805,black,12995,2009
excellent,61856,grey,15995,2017
good,77000,"",7500,2013
excellent,41100,white,16000,2015
excellent,81323,"",8999,2003
like new,64404,"",15988,2016
good,153000,silver,4999,2007
excellent,105286,silver,5995,2003
good,170088,green,3999,2007
excellent,144684,red,6995,2008
good,135917,red,7495,2011
excellent,49500,red,16500,2016
like new,74000,red,14998,2016
good,89000,green,8000,2011
excellent,89960,silver,9500,2012
excellent,123916,grey,2000,2010
good,125945,grey,8995,2012
good,128000,silver,3200,2006
excellent,155000,"",4995,2004
excellent,144500,green,7250,2008
excellent,150000,blue,6900,2007
good,112861,white,7999,2011
excellent,139634,blue,5500,2007
fair,255000,"",2750,2005
excellent,92000,silver,4999,2001
excellent,66017,grey,5995,2004
excellent,38111,grey,5995,2004
good,200000,"",3200,2000
good,200000,"",3200,2000
good,200000,"",3200,2000
good,164258,brown,3000,1999
excellent,108579,"",11987,2014
good,212342,"",3550,2005
excellent,149596,silver,6995,2011
excellent,174000,"",1,2007
excellent,72856,blue,6495,2003
good,166000,white,5990,2011
excellent,229000,grey,3200,2003
excellent,86000,grey,9500,2011
excellent,80000,"",5900,2004
excellent,174000,"",6495,2008
good,166000,white,5990,2011
good,133100,grey,5000,2005
good,170000,black,4300,2007
good,120160,silver,3800,1999
good,166000,white,6450,2011
good,188000,"",3500,2000
like new,170000,black,4300,2007
like new,170000,black,4500,2007
good,225661,blue,3900,2005
like new,170000,black,4500,2007
good,170000,black,4500,2007
good,144735,silver,9450,2014
excellent,113300,silver,10995,2014
excellent,125180,white,10495,2012
fair,209762,"",1200,1997
good,225000,"",3200,2003
good,277100,green,1900,1997
fair,209762,"",1400,1997
excellent,194000,red,4000,2007
good,152364,black,6995,2010
like new,201000,blue,6200,2012
good,172000,brown,2400,1998
good,187906,white,2500,1998
like new,201000,blue,6200,2012
excellent,194200,red,4000,2007
excellent,126000,"",2500,1999
fair,282503,red,700,1990
good,135465,grey,4900,2007
excellent,179133,"",6488,2007
good,160000,silver,3500,2002
excellent,196000,black,6200,2007
good,280000,"",1500,1996
good,158000,green,2795,1997
excellent,157735,black,4499,2002
excellent,69646,silver,7995,2006
good,185000,"",2350,1999
fair,229656,green,1200,1996
good,233573,silver,2500,1999
excellent,125000,"",5800,2005
excellent,84405,silver,12995,2012
excellent,156724,red,7500,2010
excellent,94750,silver,12995,2013
excellent,217719,grey,3900,2006
excellent,94000,grey,10295,2011
excellent,69246,red,14995,2015
excellent,248000,grey,5495,2009
excellent,25457,silver,17990,2017
like new,123861,"",4999,2007
excellent,128520,"",3999,2003
like new,124850,silver,3999,2004
like new,52056,"",6999,2007
like new,125069,"",3999,2004
like new,117490,"",4999,2006
like new,106998,"",2999,2000
like new,108933,"",2999,2000
like new,123861,"",4999,2007
excellent,231560,green,3900,2003
good,132642,grey,4988,2005
good,148000,red,2500,2001
fair,125000,"",2500,2003
good,213960,green,4900,2007
good,151278,green,6500,2009
good,187048,silver,3950,2004
excellent,49058,green,13799,2012
excellent,49058,green,13988,2012
good,209800,blue,6400,2010
good,55292,grey,19900,2019
excellent,165637,black,8688,2011
excellent,49058,green,13988,2012
excellent,165637,black,8980,2011
excellent,49058,green,14488,2012
like new,123861,"",4999,2007
excellent,72289,"",16000,2016
excellent,51167,grey,15500,2016
good,87234,green,9900,2012
excellent,128520,"",3999,2003
like new,124850,silver,3999,2004
excellent,178000,"",3250,1996
good,73000,black,9300,2013
like new,52000,silver,12900,2014
good,214000,grey,3200,2002
excellent,124602,blue,11695,2017
good,164607,silver,3599,2001
fair,167000,"",2500,1999
good,111138,custom,7899,2011
like new,52056,"",6999,2007
excellent,87857,grey,12500,2013
like new,125069,"",3999,2004
good,120000,white,2250,2000
fair,260000,red,2795,2010
excellent,87857,grey,12500,2013
like new,117490,"",4999,2006
excellent,111325,blue,8998,2011
excellent,110378,"",10990,2011
excellent,132053,"",11990,2012
excellent,69246,red,14995,2015
